1000FLOKIUSDT,1000LUNCUSDT,1000PEPEUSDT,1000SHIBUSDT,1000XECUSDT,1INCHUSDT,AAVEUSDT,ACHUSDT,ADAUSDT,AGIXUSDT,AGLDUSDT,ALGOUSDT,ALICEUSDT,ALPHAUSDT,AMBUSDT,ANKRUSDT,ANTUSDT,APEUSDT,API3USDT,APTUSDT,ARUSDT,ARBUSDT,ARKUSDT,ARKMUSDT,ARPAUSDT,ASTRUSDT,ATAUSDT,ATOMUSDT,AUDIOUSDT,BADGERUSDT,BAKEUSDT,BALUSDT,BANDUSDT,BATUSDT,BCHUSDT,BELUSDT,BICOUSDT,BIGTIMEUSDT,BLUEBIRDUSDT,BLURUSDT,BLZUSDT,BNBUSDT,BNTUSDT,BNXUSDT,BONDUSDT,BSVUSDT,C98USDT,CAKEUSDT,CELOUSDT,CELRUSDT,CFXUSDT,CHRUSDT,CHZUSDT,CKBUSDT,COCOSUSDT,COMBOUSDT,COMPUSDT,COTIUSDT,CTKUSDT,CTSIUSDT,CVXUSDT,CYBERUSDT,DARUSDT,DASHUSDT,DEFIUSDT,DENTUSDT,DGBUSDT,DODOXUSDT,DOGEUSDT,DUSKUSDT,DYDXUSDT,EDUUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,ETCUSDT,FETUSDT,FILUSDT,FLMUSDT,FLOWUSDT,FOOTBALLUSDT,FRONTUSDT,FTMUSDT,FXSUSDT,GALUSDT,GALAUSDT,GASUSDT,GLMRUSDT,GMTUSDT,GMXUSDT,GRTUSDT,GTCUSDT,HBARUSDT,HFTUSDT,HIFIUSDT,HIGHUSDT,HOOKUSDT,HOTUSDT,ICPUSDT,ICXUSDT,IDUSDT,IDEXUSDT,ILVUSDT,IMXUSDT,INJUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,JASMYUSDT,JOEUSDT,KAVAUSDT,KEYUSDT,KLAYUSDT,KNCUSDT,KSMUSDT,LDOUSDT,LEVERUSDT,LINAUSDT,LITUSDT,LOOMUSDT,LPTUSDT,LQTYUSDT,LRCUSDT,LTCUSDT,LUNA2USDT,MAGICUSDT,MANAUSDT,MASKUSDT,MAVUSDT,MBLUSDT,MDTUSDT,MEMEUSDT,MINAUSDT,MKRUSDT,MTLUSDT,NEARUSDT,NEOUSDT,NKNUSDT,NMRUSDT,NTRNUSDT,OCEANUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONTUSDT,OPUSDT,ORBSUSDT,ORDIUSDT,OXTUSDT,PENDLEUSDT,PEOPLEUSDT,PERPUSDT,PHBUSDT,POLYXUSDT,POWRUSDT,QNTUSDT,QTUMUSDT,RADUSDT,RDNTUSDT,REEFUSDT,RENUSDT,RIFUSDT,RLCUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,RVNUSDT,SANDUSDT,SEIUSDT,SFPUSDT,SKLUSDT,SLPUSDT,SNTUSDT,SNXUSDT,SPELLUSDT,SSVUSDT,STEEMUSDT,STGUSDT,STMXUSDT,STORJUSDT,STPTUSDT,STRAXUSDT,STXUSDT,SUIUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TIAUSDT,TLMUSDT,TOKENUSDT,TOMOUSDT,TRBUSDT,TRUUSDT,TRXUSDT,TWTUSDT,UMAUSDT,UNFIUSDT,UNIUSDT,USDCUSDT,VETUSDT,WAVESUSDT,WAXPUSDT,WLDUSDT,WOOUSDT,XEMUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,XVGUSDT,XVSUSDT,YFIUSDT,YGGUSDT,ZECUSDT,ZENUSDT,ZILUSDT,ZRXUSDT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700172755351,1700172754012,1700172753129,1700172758500,1700172745342,1700172757278,1700172757176,1700172748072,1700172757170,1700172757173,1700172755817,1700172745312,1700172754778,1700172757165,1700172757197,1700172740963,1700172750615,1700172754631,1700172757175,1700172757169,1700172754309,1700172757180,1700172755438,1700172757296,1700172757777,1700172757271,1700172758317,1700172757172,1700172742823,1700172757208,1700172740940,1700172748161,1700172757174,1700172756675,1700172757174,1700172754864,1700172740845,1700172756261,1700172754551,1700172757173,1700172754626,1700172757214,1700172754663,1700172745637,1700172754669,1700172755010,1700172745309,1700172757197,1700172732072,1700172757173,1700172747223,1700172740844,1700172757268,1700172714361,1685005226255,1700172747917,1700172757172,1700172754555,1700172747923,1700172740845,1700172757342,1700172756133,1700172747841,1700172754726,1700172757198,1700172683400,1700172693865,1700172754550,1700172757317,1700172754543,1700172758534,1700172757342,1700172757193,1700172757428,1700172754820,1700172757406,1700172757352,1700172755611,1700172731924,1700172735265,1700172681025,1700172757185,1700172758248,1700172754551,1700172757453,1700172753287,1700172757975,1700172757420,1700172754762,1700172755479,1700172757175,1700172724782,1700172757175,1700172756865,1700172758271,1700172682849,1700172755256,1700172705053,1700172755799,1700172754535,1700172757173,1700172754686,1700172758408,1700172754603,1700172754628,1700172757183,1700172754311,1700172741187,1700172756852,1700172754467,1700172748102,1700172757197,1700172746868,1700172757320,1700172731577,1700172757437,1700172756374,1700172757913,1700172623777,1700172731787,1700172752803,1700172754679,1700172754740,1700172755535,1700172757298,1700172757346,1700172754836,1700172757448,1700172747842,1700172717491,1700172754643,1700172757393,1700172754468,1700172755563,1700172754663,1700172754493,1700172757669,1700172747867,1700172740845,1700172755697,1700172755154,1700172728034,1700172757169,1700172757175,1700172758336,1700172757691,1700172754527,1700172757077,1700172757333,1700172757179,1700172732987,1700172757250,1700172745636,1700172754415,1700172750029,1700172753325,1700172747840,1700172740845,1700172757380,1700172757264,1700172757172,1700172754452,1700172752739,1700172757189,1700172757173,1700172757194,1700172757709,1700172747938,1700172754605,1700172754552,1700172756331,1700172757174,1700172754598,1700172745311,1700172751204,1700172732075,1700172757467,1700172754759,1700172731784,1700172706863,1700172757175,1700172757365,1700172747861,1700172757291,1700172754558,1700172758033,1700172738322,1700172757176,1700172757292,1700172705620,1700172755332,1699952397314,1700172757173,1700172750381,1700172744189,1700172756523,1700172745315,1700172757312,1700172754762,1700172723229,1700172757173,1700172757254,1700172755584,1700172757171,1700172757357,1700172732084,1700172757179,1700172757483,1700172758449,1700172663237,1700172757181,1700172754413,1700172757185,1700172757028,1700172757232,1700172747529,1700172745329,1700172748559
1700172822493,1700172833086,1700172829515,1700172827310,1700172826429,1700172826028,1700172825711,1700172825134,1700172825212,1700172830653,1700172830626,1700172830030,1700172833782,1700172826035,1700172825563,1700172834816,1700172825811,1700172831384,1700172834606,1700172830087,1700172825395,1700172834100,1700172834823,1700172834838,1700172831342,1700172825677,1700172825321,1700172826254,1700172834816,1700172834063,1700172825254,1700172824795,1700172825739,1700172832421,1700172832278,1700172833458,1700172825498,1700172828238,1700172825825,1700172833352,1700172832702,1700172831469,1700172825756,1700172825592,1700172826521,1700172825369,1700172825194,1700172833862,1700172829334,1700172819650,1700172825665,1700172816818,1700172830408,1700172833503,1685005226255,1700172831542,1700172831484,1700172834821,1700172831468,1700172823851,1700172823798,1700172828063,1700172825809,1700172831483,1700172825574,1700172787631,1700172825661,1700172825664,1700172831992,1700172825764,1700172833192,1700172831084,1700172825788,1700172825665,1700172826189,1700172833355,1700172829373,1700172830902,1700172789025,1700172832664,1700172802016,1700172825805,1700172832716,1700172828256,1700172825498,1700172832513,1700172831907,1700172825764,1700172831416,1700172831694,1700172833780,1700172791626,1700172832043,1700172825669,1700172826536,1700172816270,1700172831476,1700172834816,1700172829567,1700172827450,1700172831432,1700172831515,1700172828929,1700172825230,1700172832565,1700172834815,1700172825698,1700172833522,1700172834824,1700172831416,1700172825826,1700172825509,1700172825678,1700172825666,1700172825472,1700172832912,1700172825687,1700172833951,1700172828338,1700172821469,1700172833465,1700172834816,1700172825208,1700172833396,1700172826170,1700172833380,1700172834829,1700172831446,1700172830294,1700172800187,1700172834834,1700172834037,1700172834819,1700172825715,1700172833506,1700172831915,1700172831419,1700172825771,1700172826913,1700172813138,1700172830473,1700172825876,1700172826757,1700172823869,1700172825329,1700172830545,1700172827019,1700172833549,1700172825321,1700172825752,1700172825598,1700172825756,1700172827227,1700172832328,1700172825287,1700172834696,1700172834818,1700172825704,1700172833469,1700172828863,1700172833553,1700172831481,1700172831392,1700172832648,1700172826132,1700172825670,1700172833504,1700172795858,1700172825670,1700172831499,1700172831473,1700172827145,1700172800110,1700172831417,1700172825683,1700172821335,1700172825705,1700172833317,1700172825675,1700172825343,1700172834820,1700172826613,1700172833663,1700172833611,1700172825244,1700172832852,1700172832248,1700172826459,1700172833718,1700172831515,1700172830817,1699952397314,1700172832089,1700172831578,1700172830501,1700172831416,1700172825609,1700172832201,1700172834819,1700172768646,1700172831556,1700172832678,1700172830201,1700172831414,1700172834315,1700172822178,1700172825802,1700172831392,1700172833659,1700172791401,1700172831515,1700172834815,1700172834322,1700172829589,1700172823879,1700172825977,1700172829663,1700172834817
1700172981931,1700172976425,1700172977063,1700172978414,1700172972329,1700172972325,1700172981973,1700172972459,1700172981459,1700172973696,1700172981995,1700172949916,1700172923805,1700172982084,1700172971992,1700172925054,1700172981876,1700172971077,1700172980128,1700172978893,1700172979009,1700172981927,1700172975379,1700172970525,1700172974077,1700172981594,1700172938468,1700172979698,1700172967371,1700172981925,1700172972289,1700172928015,1700172976264,1700172967000,1700172980348,1700172975175,1700172961347,1700172982017,1700172967376,1700172981915,1700172975176,1700172973747,1700172981020,1700172980434,1700172972310,1700172982015,1700172977105,1700172981929,1700172971110,1700172965982,1700172981922,1700172949261,1700172981320,1700172967378,1685005226255,1700172982093,1700172978891,1700172972821,1700172977531,1700172937713,1700172972185,1700172982009,1700172969289,1700172967509,1700172982043,1700172966766,1700172895697,1700172981967,1700172980472,1700172981387,1700172981326,1700172972300,1700172969354,1700172970525,1700172981979,1700172981856,1700172981288,1700172972440,1700172963079,1700172963210,1700172937714,1700172982015,1700172972289,1700172973231,1700172974762,1700172976256,1700172972576,1700172982165,1700172978904,1700172981921,1700172980744,1700172967372,1700172976449,1700172981984,1700172981925,1700172959360,1700172973820,1700172981928,1700172966178,1700172972515,1700172973491,1700172967506,1700172980893,1700172981920,1700172978452,1700172972356,1700172967246,1700172967354,1700172980872,1700172974110,1700172982157,1700172982889,1700172957143,1700172975206,1700172971076,1700172981922,1700172972294,1700172982793,1700172958150,1700172976665,1700172965667,1700172975124,1700172981092,1700172981942,1700172981921,1700172981925,1700172976256,1700172980811,1700172979917,1700172981464,1700172972374,1700172981957,1700172981920,1700172981388,1700172979905,1700172979107,1700172974867,1700172981995,1700172903430,1700172981399,1700172981326,1700172977550,1700172982015,1700172974170,1700172926660,1700172980650,1700172975161,1700172981993,1700172967344,1700172973681,1700172982024,1700172972403,1700172968882,1700172970551,1700172970540,1700172980205,1700172972333,1700172975721,1700172972305,1700172965765,1700172973734,1700172975124,1700172971382,1700172981387,1700172981921,1700172923806,1700172981388,1700172945605,1700172981325,1700172979096,1700172972318,1700172972209,1700172967364,1700172975532,1700172981301,1700172967370,1700172967782,1700172967556,1700172967277,1700172963079,1700172982049,1700172980323,1700172982016,1700172981920,1700172980399,1700172981432,1700172959495,1700172975122,1700172980856,1700172970918,1700172981306,1699952397314,1700172978414,1700172978226,1700172972796,1700172981965,1700172923797,1700172981943,1700172981966,1700172937726,1700172973618,1700172981941,1700172973756,1700172981936,1700172981247,1700172971280,1700172972411,1700172967617,1700172981936,1700172963245,1700172982127,1700172972384,1700172980392,1700172982001,1700172971075,1700172979388,1700172955920,1700172974381
1700173188030,1700173185246,1700173188428,1700173186238,1700173186722,1700173180288,1700173185260,1700173185205,1700173188752,1700173179481,1700173179406,1700173184685,1700173177649,1700173183347,1700173188616,1700173162059,1700173186722,1700173187222,1700173185617,1700173185282,1700173185299,1700173188071,1700173185293,1700173188900,1700173183507,1700173179338,1700173179425,1700173189131,1700173179677,1700173181639,1700173185786,1700173186723,1700173186666,1700173189639,1700173184298,1700173186721,1700173186903,1700173188058,1700173173142,1700173188067,1700173185192,1700173188768,1700173188103,1700173184434,1700173186723,1700173186723,1700173182340,1700173189083,1700173186723,1700173186567,1700173189594,1700173155824,1700173185224,1700173168714,1685005226255,1700173183695,1700173189055,1700173186721,1700173186722,1700173179439,1700173185185,1700173188110,1700173173047,1700173183548,1700173185255,1700173172242,1700173179444,1700173179476,1700173188049,1700173179383,1700173185210,1700173185296,1700173188867,1700173186745,1700173185306,1700173188057,1700173185193,1700173181932,1700173186722,1700173164782,1700173189802,1700173179479,1700173189535,1700173182284,1700173187181,1700173185181,1700173188136,1700173169393,1700173188302,1700173177756,1700173186324,1700173150931,1700173182146,1700173186143,1700173186019,1700173155370,1700173188054,1700173174723,1700173185184,1700173189814,1700173189080,1700173186721,1700173188987,1700173188045,1700173188083,1700173188253,1700173147787,1700173170513,1700173185715,1700173188138,1700173188290,1700173182511,1700173183602,1700173185192,1700173180543,1700173185958,1700173179218,1700173163446,1700173186722,1700173181778,1700173188044,1700173188051,1700173171005,1700173188534,1700173185191,1700173185182,1700173185416,1700173175154,1700173186781,1700173162890,1700173178297,1700173188433,1700173188224,1700173183497,1700173179383,1700173181487,1700173184626,1700173186669,1700173132600,1700173187338,1700173189193,1700173132920,1700173185433,1700173188256,1700173186722,1700173188054,1700173186669,1700173188596,1700173188113,1700173185267,1700173159607,1700173187996,1700173186078,1700173176445,1700173188130,1700173178699,1700173179440,1700173184051,1700173186016,1700173189122,1700173185457,1700173159585,1700173188599,1700173188494,1700173186286,1700173155899,1700173185904,1700173183221,1700173185188,1700173186161,1700173183492,1700173189611,1700173159692,1700173179079,1700173186698,1700173149158,1700173179936,1700173186684,1700173185282,1700173178492,1700173188086,1700173179701,1700173185188,1700173185239,1700173184660,1700173188122,1700173175827,1700173184500,1700173188254,1700173186722,1700173187355,1699952397314,1700173188063,1700173185748,1700173189402,1700173185333,1700173149007,1700173188270,1700173185204,1700173109463,1700173174028,1700173187969,1700173186723,1700173189255,1700173189294,1700173183221,1700173186409,1700173180633,1700173187918,1700173179308,1700173170784,1700173188867,1700173189454,1700173188475,1700173179462,1700173173177,1700173180585,1700173187909
1700173244293,1700173241453,1700173242346,1700173237401,1700173242236,1700173243177,1700173242266,1700173238332,1700173242287,1700173237211,1700173239636,1700173236049,1700173236531,1700173244286,1700173243139,1700173242782,1700173237563,1700173237222,1700173238656,1700173240570,1700173241427,1700173242240,1700173241265,1700173238593,1700173241339,1700173238535,1700173236051,1700173242636,1700173237278,1700173242378,1700173239353,1700173238327,1700173242284,1700173241478,1700173243337,1700173242274,1700173235666,1700173243149,1700173237265,1700173234898,1700173243653,1700173242284,1700173239624,1700173236050,1700173237234,1700173231992,1700173243701,1700173243407,1700173242236,1700173239130,1700173236697,1700173229090,1700173238486,1700173241454,1685005226255,1700173244310,1700173239097,1700173237488,1700173241550,1700173228356,1700173237479,1700173239017,1700173230234,1700173240996,1700173244357,1700173237218,1700173237889,1700173237236,1700173242218,1700173240531,1700173241022,1700173244318,1700173241237,1700173240576,1700173243547,1700173242297,1700173242498,1700173242299,1700173236048,1700173241307,1700173237206,1700173237307,1700173241040,1700173244285,1700173242167,1700173240999,1700173243897,1700173232485,1700173241087,1700173238326,1700173242265,1700173237334,1700173241037,1700173241387,1700173244282,1700173228356,1700173238416,1700173237671,1700173241208,1700173242287,1700173241704,1700173239922,1700173236054,1700173241022,1700173242327,1700173241000,1700173241390,1700173232137,1700173237345,1700173237393,1700173241892,1700173241399,1700173243443,1700173242274,1700173226849,1700173243493,1700173241002,1700173226355,1700173231974,1700173241797,1700173243684,1700173242430,1700173242503,1700173239513,1700173242034,1700173241084,1700173242231,1700173236056,1700173237279,1700173242671,1700173241421,1700173242673,1700173240611,1700173241394,1700173242274,1700173233144,1700173241370,1700173238855,1700173227993,1700173241490,1700173242284,1700173242286,1700173240748,1700173226357,1700173238026,1700173244288,1700173241494,1700173242834,1700173236057,1700173241380,1700173240994,1700173244342,1700173238355,1700173238316,1700173237383,1700173241660,1700173236508,1700173238890,1700173237216,1700173241965,1700173244458,1700173242224,1700173241899,1700173242589,1700173241042,1700173242269,1700173242293,1700173242387,1700173242574,1700173239447,1700173242287,1700173238473,1700173236047,1700173241214,1700173241840,1700173236219,1700173231972,1700173243082,1700173233784,1700173242253,1700173240992,1700173241533,1700173238460,1700173241314,1700173243676,1700173244205,1700173238784,1700173242923,1700173244365,1700173237581,1700173244308,1699952397314,1700173242699,1700173239627,1700173242391,1700173241399,1700173237205,1700173242293,1700173241827,1700173236044,1700173242287,1700173242452,1700173237369,1700173242787,1700173243501,1700173238156,1700173240954,1700173239173,1700173242140,1700173240784,1700173229017,1700173240267,1700173243050,1700173242111,1700173239101,1700173242274,1700173242032,1700173238729
