,id,timestamp,message,crypto,tipo,ts,inicio,fin,resultado
0,18719,2023-11-12 14:34:26+00:00,#ORDI Buy Setup,ORDI,LONG,,22.164,22.719,0.02504060638873848
1,18712,2023-11-12 06:23:20+00:00,#ORDI Buy Setup,ORDI,LONG,,21.325,21.635,0.014536928487690611
2,18697,2023-11-11 16:41:03+00:00,#ORDI Buy Setup,ORDI,LONG,,20.23,20.78,0.027187345526445906
4,18693,2023-11-11 16:16:14+00:00,#DYDX Buy Setup,DYDX,LONG,,3.113,3.144,0.009958239640218483
5,18688,2023-11-11 14:35:36+00:00,#MANA Buy Setup,MANA,LONG,,0.4579,0.4632,0.011574579602533363
6,18670,2023-11-11 05:24:08+00:00,#1000FLOKI Buy Setup,1000FLOKI,LONG,,0.03305,0.03355,0.015128593040847214
7,18630,2023-11-10 16:51:36+00:00,#ORDI Buy Setup,ORDI,LONG,,19.352,19.6,0.012815212897891748
8,18621,2023-11-10 14:21:35+00:00,#BTC Buy Setup,BTC,LONG,,36991.7,37025.0,0.0009002019371913947
9,18606,2023-11-10 05:28:20+00:00,#ETH Buy Setup,ETH,LONG,,2133.3,2135.0,0.0007968874513663422
10,18604,2023-11-10 02:12:04+00:00,#PENDLE Buy Setup,PENDLE,LONG,,1.154,1.1647,0.009272097053726305
11,18602,2023-11-10 01:17:15+00:00,#STEEM Buy Setup,STEEM,LONG,,0.3068,0.3132,0.020860495436766494
12,18587,2023-11-09 05:06:50+00:00,#STEEM Buy Setup,STEEM,LONG,,0.2887,0.2989,0.03533079321094557
14,18566,2023-11-08 16:48:38+00:00,**Reopen ****#BTC**** Buy Setup**,BTC,LONG,,35384.4,35395.2,0.00030521924916052367
15,18558,2023-11-08 11:35:27+00:00,#BTC Buy Setup  TP 36k5 38k 39k1 40k 42k4  SL 2.5% (Tight SL),BTC,LONG,,35358.7,35371.4,0.000359176100931436
16,18552,2023-11-08 08:41:43+00:00,#STEEM Buy Setup (SPOT TRADE),STEEM,LONG,,nan,nan,nan
17,18529,2023-11-07 18:38:57+00:00,#TRB Buy Setup  Rebuy,TRB,LONG,,128.289,128.599,0.002416419178573395
18,18527,2023-11-07 18:23:58+00:00,#SOL Buy Setup  The final push to May 2022 level.,SOL,LONG,,43.753,43.881,0.0029255136790620096
21,18498,2023-11-07 05:27:33+00:00,#GAS Buy Setup,GAS,LONG,,12.695,12.795,0.007877116975187053
